PKT_SIZE,FLAGS,FID,SEQ_NUMBER,NUMBER_OF_PKT,PKT_DELAY_NODE,PKT_RATE,BYTE_RATE,UTILIZATION,PKT_DELAY,PKT_RESEVED_TIME,FIRST_PKT_SENT,LAST_PKT_RESEVED,pkt_type__cbr,pkt_type__ping,pkt_type__tcp,to__Router,to__Server,to__Switch,from__Router,from__Server,from__Switch
55,1,7,3294,16091,0.0,328.19309,18050.6,0.00844,0.0,11.222944,1.030048,50.059112,0,0,0,0,0,1,1,0,0
1540,1,13,9218,16103,0.0,328.491489,505876.0,0.236498,0.0,29.090421,1.0,50.021057,0,0,1,1,0,0,0,0,1
1540,1,11,13875,16103,0.000847,328.561898,505985.0,0.236498,0.000847,43.249826,1.0,50.010552,0,0,1,0,1,0,1,0,0
55,1,5,15617,16091,0.0,328.218006,18052.0,0.00844,0.0,48.616802,1.030035,50.055377,0,0,0,0,0,1,1,0,0
1000,1,22,967,6250,0.000159,124.944025,124944.0,0.059605,0.000239,32.766479,25.0,75.0224,1,0,0,0,1,0,1,0,0
55,1,5,12620,16091,0.0,328.218006,18052.0,0.00844,0.0,39.482864,1.030035,50.055377,0,0,0,0,0,1,1,0,0
576,1,0,16617,7110,0.0,95.145988,54804.1,0.039056,0.097694,54.280399,1.27255,75.999821,0,0,0,0,0,0,0,0,1
1540,1,13,3841,16103,0.0,328.491489,505876.0,0.236498,0.0,12.81307,1.0,50.021057,0,0,1,0,0,1,0,0,0
55,1,10,6427,16085,0.0,328.064183,18043.5,0.008437,0.0,20.663233,1.030058,50.060098,0,0,0,0,0,0,0,0,1
1000,1,37,4493,6250,0.00056,124.941827,124942.0,0.059605,0.00104,60.97528,25.0,75.02328,1,0,0,0,1,0,1,0,0
1000,1,21,3688,6250,0.0,124.944425,124944.0,0.059605,0.0,54.53424,25.0,75.02224,1,0,0,0,1,0,1,0,0
55,1,9,10412,16088,0.0,328.113525,18046.2,0.008438,0.0,32.798052,1.030054,50.061864,0,0,0,0,0,0,0,0,1
1540,1,10,11789,16085,0.000338,328.063862,505218.0,0.236234,0.000338,36.938207,1.0,50.030088,0,0,1,0,1,0,1,0,0
1000,1,36,5393,6250,0.0004,124.942227,124942.0,0.059605,0.00088,68.17512,25.0,75.02312,1,0,0,1,0,0,0,0,1
55,1,2,5404,16091,0.0,328.297902,18056.4,0.00844,0.0,17.574633,1.030016,50.043427,0,0,0,1,0,0,0,1,0
576,1,0,458281,7110,0.0,95.145988,54761.052361,0.039026,0.113037,61.984125,1.27255,75.999821,0,0,1,0,0,0,0,0,1
1000,1,34,1627,6250,0.0,124.943026,124943.0,0.059605,0.000555,38.046795,25.0,75.0228,1,0,0,0,0,1,0,0,0
1540,1,2,10549,16091,0.000617,328.297855,505578.0,0.236321,0.0016,33.144602,1.0,50.013418,0,0,1,1,0,0,0,0,1
1540,1,12,748,16103,0.0,328.522879,505925.0,0.236498,0.0,3.467723,1.0,50.016373,0,0,1,0,1,0,1,0,0
1540,1,10,6877,16085,0.0,328.063862,505218.0,0.236234,0.0,22.009075,1.0,50.030088,0,0,1,0,0,1,0,0,0
1540,1,14,12822,16103,0.0,328.460131,505828.0,0.236498,0.000984,40.048486,1.0,50.025737,0,0,1,0,0,1,0,0,0
1000,1,27,1961,6250,0.000523,124.942027,124942.0,0.059605,0.000968,40.719208,25.0,75.0232,1,0,0,0,1,0,1,0,0
1540,1,4,9014,16091,0.0,328.240918,505490.0,0.236321,0.0,28.482355,1.0,50.02192,0,0,1,0,1,0,1,0,0
55,1,8,10373,16090,0.0,328.167767,18049.2,0.00844,0.0,32.67126,1.030051,50.059851,0,0,0,0,0,1,1,0,0
1540,1,11,13935,16103,0.0,328.561898,505985.0,0.236498,0.0016,43.434037,1.0,50.010552,0,0,1,0,0,1,0,0,0
1000,1,25,4719,6250,0.0,124.942826,124943.0,0.059605,0.00064,62.78288,25.0,75.02288,1,0,0,0,0,1,0,0,0
1540,1,8,11855,16090,0.0,328.167486,505378.0,0.236307,0.0,37.149038,1.0,50.029842,0,0,1,0,0,1,0,0,0
55,1,8,4490,16090,0.0,328.167767,18049.2,0.00844,0.0,14.805571,1.030051,50.059851,0,0,0,1,0,0,0,1,0
55,1,3,10188,16091,0.0,328.26412,18054.5,0.00844,0.0,32.080994,1.030022,50.048477,0,0,0,0,0,1,1,0,0
576,1,1,1536177,5628,0.114464,658.090443,379060.0,0.030916,0.15368,28.047072,1.447776,9.999792,0,0,0,0,1,0,0,1,0
55,1,9,10917,16088,0.0,328.113525,18046.2,0.008438,0.0,34.320739,1.030054,50.061864,0,0,0,0,0,1,1,0,0
55,1,9,297,16088,0.0,328.113525,18046.2,0.008438,0.0,2.170869,1.030054,50.061864,0,0,0,0,0,1,1,0,0
1000,1,24,300,6250,0.000443,124.943226,124943.0,0.059605,0.000776,27.431016,25.0,75.02272,1,0,0,0,1,0,1,0,0
